long,lat,c,phi,alpha,safety_factor
109.4854,-7.4902,22,12,23,7.34
109.4483,-7.4666,11,14,15,8.15
109.0733,-7.3675,22,15,43,9.08
109.7683,-7.3683,32,15,22,9.39
109.7458,-7.3899,15,17,14,10.04
109.2334,-7.4264,34,17,18,10.63
109.4461,-7.3148,17,18,28,10.7
109.1508,-7.4098,29,18,42,11.08
109.5372,-7.4449,18,19,19,11.34
109.6478,-7.3734,19,19,17,11.37
109.4332,-7.4241,20,20,19,12.02
109.8645,-7.422,31,20,18,12.36
109.8194,-7.2501,34,20,32,12.46
109.3912,-7.4361,21,21,29,12.67
109.9067,-7.3681,22,21,28,12.7
109.1111,-7.5302,23,22,39,13.37
109.3742,-7.3918,36,22,26,13.77
109.2074,-7.3901,24,23,32,14.04
109.9269,-7.2308,25,23,15,14.07
109.9448,-7.2931,22,25,32,15.28
109.8983,-7.4178,26,25,20,15.41
109.9594,-7.3893,24,26,31,16.02
109.7016,-7.3923,19,34,34,21.71
109.0789,-7.4088,20,37,22,24.21
109.4138,-7.4242,13,40,25,26.67
109.9169,-7.3008,36,43,21,30.31
