long,lat,c,phi,alpha,safety_factor
109.4854,-7.4902,22,12,23,3.32
109.4483,-7.4666,11,14,15,3.69
109.0733,-7.3675,22,15,43,4.11
109.7683,-7.3683,32,15,22,4.25
109.7458,-7.3899,15,17,14,4.54
109.2334,-7.4264,34,17,18,4.81
109.4461,-7.3148,17,18,28,4.84
109.1508,-7.4098,29,18,42,5.01
109.5372,-7.4449,18,19,19,5.13
109.6478,-7.3734,19,19,17,5.14
109.4332,-7.4241,20,20,19,5.44
109.8645,-7.422,31,20,18,5.59
109.8194,-7.2501,34,20,32,5.64
109.3912,-7.4361,21,21,29,5.73
109.9067,-7.3681,22,21,28,5.75
109.1111,-7.5302,23,22,39,6.05
109.3742,-7.3918,36,22,26,6.23
109.2074,-7.3901,24,23,32,6.35
109.9269,-7.2308,25,23,15,6.36
109.9448,-7.2931,22,25,32,6.91
109.8983,-7.4178,26,25,20,6.97
109.9594,-7.3893,24,26,31,7.25
109.7016,-7.3923,19,34,34,9.82
109.0789,-7.4088,20,37,22,10.95
109.4138,-7.4242,13,40,25,12.07
109.9169,-7.3008,36,43,21,13.71
